,source,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
time[s],,float64,14160,73.38295833,0,39039,1639605664,48950.89193,1639485050,1639570100,1639587220,1639652962,1639663673
serving_cell_rsrp_1,Script,float64,14160,73.38295833,0,39039,-112.7440332,7.812759414,-133.5,-119,-115,-106.6,-65.66666667
serving_cell_rsrq_1,Script,float64,14160,73.38295833,0,39039,-9.506587218,2.202007716,-37.66666667,-11,-9.6,-7.8,-4.6
serving_cell_rssi_1,Script,float64,14161,73.38107859,0,39038,-81.874531,5.724263042,-89,-86.2,-84.4,-78.6,-50.33333333
serving_cell_snr_1,Script,float64,14161,73.38107859,0,39038,13.88591199,4.129710855,-10,10.6,12.8,17.2,23.8
datarate_client,Iperf,float64,10234,80.76279629,1067,42965,13747341.49,16356308.54,0,7370000,10300000,15900000,294000000
jitter_client,Iperf,float64,10234,80.76279629,732,42965,0.61350978,1.715045106,0,0.001054,0.002993,0.95,30.617
port_local_client,Iperf,float64,10234,80.76279629,0,42965,46633.90685,8195.637975,33275,39698,46929,53668,60344
port_remote_client,Iperf,float64,10234,80.76279629,0,42965,5202.709252,1.080977582,5201,5202,5203,5204,5204
target_DL,Iperf,float64,29851,43.88804301,0,23348,53.53606305,29.79151341,20,20,80,80,80
throughput_DL,Iperf,float64,29851,43.88804301,335,23348,14.4807339,8.234347319,0,8.9375,12.9,19.1,67.1
jitter_DL,Iperf,float64,29851,43.88804301,0,23348,0.002122224,0.005605442,9.60E-05,0.000732,0.001227,0.002048,0.213047
device_id_client,Iperf,float64,29851,43.88804301,23348,23348,0,0,0,0,0,0,0
datarate_server,Iperf,float64,10204,80.81918833,472,42995,33285102.93,31261470.57,0,9680000,20000000,80000000,80100000
jitter_server,Iperf,float64,10204,80.81918833,0,42995,3.027306306,3.596005394,0.000208,0.001379,2.083,8.333,8.339
port_local_server,Iperf,float64,10204,80.81918833,0,42995,5202.708966,1.080528497,5201,5202,5203,5204,5204
port_remote_server,Iperf,float64,10204,80.81918833,0,42995,46639.98188,8197.597725,33275,39698,46929,53668,60344
target_UL,Iperf,float64,33539,36.95558187,0,19660,19.18158698,7.309239542,10,10,25,25,25
throughput_UL,Iperf,float64,33539,36.95558187,472,19660,9.266302165,4.553075844,0,6.15,9.175,11.6,19.1
